rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero
1,5,24,0.0,0.0,1,propagule,4779,144,55,0.0052312199204854574
1,5,25,0.0,0.0,1,propagule,4656,172,61,0.005584192439862543
1,5,26,0.0,0.0,1,propagule,4554,201,58,0.005489679402722881
1,5,27,0.0,0.0,1,propagule,4467,228,71,0.005596597268860533
1,5,28,0.0,0.0,1,propagule,4394,262,94,0.005689576695493855
1,5,29,0.0,0.0,1,propagule,4241,287,109,0.005659042678613535
1,5,30,0.0,0.0,1,propagule,4117,320,136,0.006072382803011902
1,5,31,0.0,0.0,1,propagule,4005,344,147,0.006242197253433208
1,5,32,0.0,0.0,1,propagule,3882,369,158,0.00592478104070067
1,5,33,0.0,0.0,1,propagule,3743,374,178,0.0066791343841838095
1,5,34,0.0,0.0,1,propagule,3629,407,179,0.006337834114081014
1,5,35,0.0,0.0,1,propagule,3476,412,188,0.006904487917146145
1,5,36,0.0,0.0,1,propagule,3282,385,176,0.007312614259597806
1,5,37,0.0,0.0,1,propagule,3139,378,187,0.00796431984708506
1,5,38,0.0,0.0,1,propagule,3002,373,191,0.007661558960692871
1,5,39,0.0,0.0,1,propagule,2869,355,182,0.008365284071104914
1,5,40,0.0,0.0,1,propagule,2734,338,177,0.008046817849305048
1,5,41,0.0,0.0,1,propagule,2605,305,154,0.008829174664107486
1,5,42,0.0,0.0,1,propagule,2460,284,144,0.008130081300813009
1,5,43,0.0,0.0,1,propagule,2361,248,123,0.009741634900465904
1,5,44,0.0,0.0,1,propagule,2263,240,117,0.009279717189571365
1,5,45,0.0,0.0,1,propagule,2173,230,114,0.010124252185918085
1,5,46,0.0,0.0,1,propagule,2073,206,106,0.009165460684997588
1,5,47,0.0,0.0,1,propagule,1989,191,105,0.010558069381598794
1,5,48,0.0,0.0,1,propagule,1915,182,90,0.009921671018276762
1,5,49,0.0,0.0,1,propagule,1866,171,90,0.011254019292604502
1,5,50,0.0,0.0,1,propagule,1818,157,82,0.009900990099009901
1,5,51,0.0,0.0,1,propagule,1794,154,74,0.011148272017837236
1,5,52,0.0,0.0,1,propagule,1757,148,74,0.010244735344336939
