rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim,cell,homerange
1,1,1,0.0,0.0,1,propagule,3848,0,0,0.0,True,0.025,0.001
1,1,2,0.0,0.0,1,propagule,3820,0,0,0.0002617801047120419,True,0.025,0.001
1,1,3,0.0,0.0,1,propagule,3799,0,0,0.0010529086601737299,True,0.025,0.001
1,1,4,0.0,0.0,1,propagule,3825,0,0,0.0020915032679738564,True,0.025,0.001
1,1,5,0.0,0.0,1,propagule,3894,0,0,0.003338469440164355,True,0.025,0.001
1,1,6,0.0,0.0,1,propagule,3856,0,0,0.0031120331950207467,True,0.025,0.001
1,1,7,0.0,0.0,1,propagule,3851,0,0,0.003116073747078681,True,0.025,0.001
1,1,8,0.0,0.0,1,propagule,3812,0,0,0.0031479538300104933,True,0.025,0.001
1,1,9,0.0,0.0,1,propagule,3806,0,0,0.002890173410404624,True,0.025,0.001
1,1,10,0.0,0.0,1,propagule,3780,0,0,0.00291005291005291,True,0.025,0.001
1,1,11,0.0,0.0,1,propagule,3770,0,0,0.0023872679045092837,True,0.025,0.001
1,1,12,0.0,0.0,1,propagule,3740,0,0,0.00267379679144385,True,0.025,0.001
1,1,13,0.0,0.0,1,propagule,3716,0,0,0.0024219590958019376,True,0.025,0.001
1,1,14,0.0,0.0,1,propagule,3678,0,0,0.002990755845568244,True,0.025,0.001
1,1,15,0.0,0.0,1,propagule,3676,0,0,0.0024483133841131663,True,0.025,0.001
1,1,16,0.0,0.0,1,propagule,3651,0,0,0.0030128731854286495,True,0.025,0.001
1,1,17,0.0,0.0,1,propagule,3632,0,0,0.0022026431718061676,True,0.025,0.001
1,1,18,0.0,0.0,1,propagule,10392,0,0,0.000962278675904542,True,0.025,0.001
1,1,19,0.0,0.0,1,propagule,10216,0,0,0.001076742364917776,True,0.025,0.001
1,1,20,0.0,0.0,1,propagule,10040,0,0,0.0010956175298804782,True,0.025,0.001
1,1,21,0.0,0.0,1,propagule,9908,0,0,0.0012111425111021397,True,0.025,0.001
1,1,22,0.0,0.0,1,propagule,9730,0,0,0.0012332990750256938,True,0.025,0.001
1,1,23,0.0,0.0,1,propagule,9551,0,0,0.001256412941053293,True,0.025,0.001
1,1,24,0.0,0.0,1,propagule,9349,0,0,0.001176596427425393,True,0.025,0.001
1,1,25,0.0,0.0,1,propagule,9139,0,0,0.001203632782580151,True,0.025,0.001
1,1,26,0.0,0.0,1,propagule,9037,0,0,0.0012172181033528826,True,0.025,0.001
1,1,27,0.0,0.0,1,propagule,8863,0,0,0.001241114746699763,True,0.025,0.001
1,1,28,0.0,0.0,1,propagule,8741,0,0,0.0012584372497425923,True,0.025,0.001
1,1,29,0.0,0.0,1,propagule,8600,0,0,0.0012790697674418604,True,0.025,0.001
1,1,30,0.0,0.0,1,propagule,8474,0,0,0.00129808827000236,True,0.025,0.001
1,1,31,0.0,0.0,1,propagule,8281,0,0,0.001328341987682647,True,0.025,0.001
1,1,32,0.0,0.0,1,propagule,8147,0,0,0.001350190254081257,True,0.025,0.001
1,1,33,0.0,0.0,1,propagule,8028,0,0,0.0013702042850024913,True,0.025,0.001
1,1,34,0.0,0.0,1,propagule,7893,0,0,0.0013936399341188395,True,0.025,0.001
1,1,35,0.0,0.0,1,propagule,7788,0,0,0.0014124293785310734,True,0.025,0.001
1,1,36,0.0,0.0,1,propagule,7676,0,0,0.002214695153725899,True,0.025,0.001
1,1,37,0.0,0.0,1,propagule,7543,0,0,0.002121171947500994,True,0.025,0.001
1,1,38,0.0,0.0,1,propagule,7385,0,0,0.0018957345971563982,True,0.025,0.001
1,1,39,0.0,0.0,1,propagule,7295,0,0,0.0021932830705962986,True,0.025,0.001
1,1,40,0.0,0.0,1,propagule,7180,0,0,0.0018105849582172701,True,0.025,0.001
1,1,41,0.0,0.0,1,propagule,7070,0,0,0.0016973125884016972,True,0.025,0.001
1,1,42,0.0,0.0,1,propagule,6954,0,0,0.0018694276675294795,True,0.025,0.001
1,1,43,0.0,0.0,1,propagule,6773,0,0,0.0032481913479994093,True,0.025,0.001
1,1,44,0.0,0.0,1,propagule,6757,0,0,0.0019239307384934143,True,0.025,0.001
1,1,45,0.0,0.0,1,propagule,6653,0,0,0.002555238238388697,True,0.025,0.001
1,1,46,0.0,0.0,1,propagule,6534,0,0,0.0026017753290480563,True,0.025,0.001
1,1,47,0.0,0.0,1,propagule,6476,0,0,0.0024706609017912293,True,0.025,0.001
1,1,48,0.0,0.0,1,propagule,6383,0,0,0.002663324455585148,True,0.025,0.001
1,1,49,0.0,0.0,1,propagule,6324,0,0,0.002688172043010753,True,0.025,0.001
1,1,50,0.0,0.0,1,propagule,6247,0,0,0.0027213062269889547,True,0.025,0.001
1,1,51,0.0,0.0,1,propagule,6196,0,0,0.0027437056165267914,True,0.025,0.001
1,1,52,0.0,0.0,1,propagule,6125,0,0,0.002775510204081633,True,0.025,0.001
1,2,1,0.0,0.0,1,propagule,6071,0,0,0.0028001976610113654,True,0.025,0.001
1,2,2,0.0,0.0,1,propagule,5994,0,0,0.0028361695028361693,True,0.025,0.001
1,2,3,0.0,0.0,1,propagule,5938,0,0,0.0028629168070057258,True,0.025,0.001
1,2,4,0.0,0.0,1,propagule,5893,0,0,0.0030544714067537756,True,0.025,0.001
1,2,5,0.0,0.0,1,propagule,5820,0,0,0.003092783505154639,True,0.025,0.001
1,2,6,0.0,0.0,1,propagule,5758,0,0,0.003126085446335533,True,0.025,0.001
1,2,7,0.0,0.0,1,propagule,5694,0,0,0.0033368458025992273,True,0.025,0.001
1,2,8,0.0,0.0,1,propagule,5606,0,0,0.0033892258294684267,True,0.025,0.001
1,2,9,0.0,0.0,1,propagule,5553,0,0,0.0034215739240050424,True,0.025,0.001
1,2,10,0.0,0.0,1,propagule,5502,0,0,0.003271537622682661,True,0.025,0.001
1,2,11,0.0,0.0,1,propagule,5441,0,0,0.003308215401580592,True,0.025,0.001
1,2,12,0.0,0.0,1,propagule,5398,0,0,0.0031493145609484993,True,0.025,0.001
1,2,13,0.0,0.0,1,propagule,5346,0,0,0.0031799476243920687,True,0.025,0.001
1,2,14,0.0,0.0,1,propagule,5284,0,0,0.0032172596517789556,True,0.025,0.001
1,2,15,0.0,0.0,1,propagule,5242,0,0,0.003052270125906143,True,0.025,0.001
1,2,16,0.0,0.0,1,propagule,5187,0,0,0.003277424330055909,True,0.025,0.001
1,2,17,0.0,0.0,1,propagule,5127,0,0,0.003315779208113907,True,0.025,0.001
1,2,18,0.0,0.0,1,propagule,9191,0,0,0.0018496355130018496,True,0.025,0.001
1,2,19,0.0,0.0,1,propagule,9049,0,0,0.001878660625483479,True,0.025,0.001
1,2,20,0.0,0.0,1,propagule,8899,0,0,0.0019103270030340488,True,0.025,0.001
1,2,21,0.0,0.0,1,propagule,8791,0,0,0.0018200432260266181,True,0.025,0.001
1,2,22,0.0,0.0,1,propagule,8669,0,0,0.0019610104971738377,True,0.025,0.001
1,2,23,0.0,0.0,1,propagule,8503,0,0,0.0018816888157121017,True,0.025,0.001
1,2,24,0.0,0.0,1,propagule,8385,0,0,0.0019081693500298152,True,0.025,0.001
1,2,25,0.0,0.0,1,propagule,8300,0,0,0.0019277108433734939,True,0.025,0.001
1,2,26,0.0,0.0,1,propagule,8161,0,0,0.0019605440509741453,True,0.025,0.001
1,2,27,0.0,0.0,1,propagule,8062,0,0,0.0019846192011907715,True,0.025,0.001
1,2,28,0.0,0.0,1,propagule,7935,0,0,0.0020163831127914303,True,0.025,0.001
1,2,29,0.0,0.0,1,propagule,7835,0,0,0.00204211869814933,True,0.025,0.001
1,2,30,0.0,0.0,1,propagule,7701,0,0,0.0020776522529541617,True,0.025,0.001
1,2,31,0.0,0.0,1,propagule,7583,0,0,0.0021099828563892918,True,0.025,0.001
1,2,32,0.0,0.0,1,propagule,7453,0,0,0.002146786528914531,True,0.025,0.001
1,2,33,0.0,0.0,1,propagule,7354,0,0,0.0021756867011150393,True,0.025,0.001
1,2,34,0.0,0.0,1,propagule,7218,0,0,0.0022166805209199226,True,0.025,0.001
1,2,35,0.0,0.0,1,propagule,7081,0,0,0.002259567857647225,True,0.025,0.001
1,2,36,0.0,0.0,1,propagule,6952,0,0,0.0028768699654775605,True,0.025,0.001
1,2,37,0.0,0.0,1,propagule,6813,0,0,0.0029355643622486424,True,0.025,0.001
1,2,38,0.0,0.0,1,propagule,6748,0,0,0.002963841138114997,True,0.025,0.001
1,2,39,0.0,0.0,1,propagule,6664,0,0,0.003001200480192077,True,0.025,0.001
1,2,40,0.0,0.0,1,propagule,6581,0,0,0.00303905181583346,True,0.025,0.001
1,2,41,0.0,0.0,1,propagule,6465,0,0,0.0030935808197989174,True,0.025,0.001
1,2,42,0.0,0.0,1,propagule,6324,0,0,0.003004427577482606,True,0.025,0.001
1,2,43,0.0,0.0,1,propagule,6202,0,0,0.0032247662044501773,True,0.025,0.001
1,2,44,0.0,0.0,1,propagule,6150,0,0,0.0026016260162601626,True,0.025,0.001
1,2,45,0.0,0.0,1,propagule,6060,0,0,0.0026402640264026403,True,0.025,0.001
1,2,46,0.0,0.0,1,propagule,5943,0,0,0.0026922429749284874,True,0.025,0.001
1,2,47,0.0,0.0,1,propagule,5868,0,0,0.0027266530334014998,True,0.025,0.001
1,2,48,0.0,0.0,1,propagule,5796,0,0,0.002587991718426501,True,0.025,0.001
1,2,49,0.0,0.0,1,propagule,5731,0,0,0.002617344268016053,True,0.025,0.001
1,2,50,0.0,0.0,1,propagule,5678,0,0,0.0026417752729834447,True,0.025,0.001
1,2,51,0.0,0.0,1,propagule,5622,0,0,0.0026680896478121665,True,0.025,0.001
1,2,52,0.0,0.0,1,propagule,5581,0,0,0.0026876903780684463,True,0.025,0.001
1,3,1,0.0,0.0,1,propagule,5514,0,0,0.0025389916575988395,True,0.025,0.001
1,3,2,0.0,0.0,1,propagule,5457,0,0,0.0023822613157412497,True,0.025,0.001
1,3,3,0.0,0.0,1,propagule,5390,0,0,0.0025974025974025974,True,0.025,0.001
1,3,4,0.0,0.0,1,propagule,5358,0,0,0.0026129152668906306,True,0.025,0.001
1,3,5,0.0,0.0,1,propagule,5297,0,0,0.002643005474797055,True,0.025,0.001
1,3,6,0.0,0.0,1,propagule,5246,0,0,0.002668699961875715,True,0.025,0.001
1,3,7,0.0,0.0,1,propagule,5183,0,0,0.0027011383368705385,True,0.025,0.001
1,3,8,0.0,0.0,1,propagule,5138,0,0,0.0027247956403269754,True,0.025,0.001
1,3,9,0.0,0.0,1,propagule,5068,0,0,0.0027624309392265192,True,0.025,0.001
1,3,10,0.0,0.0,1,propagule,5025,0,0,0.0025870646766169153,True,0.025,0.001
1,3,11,0.0,0.0,1,propagule,4971,0,0,0.002615167974250654,True,0.025,0.001
1,3,12,0.0,0.0,1,propagule,4931,0,0,0.0026363820726019063,True,0.025,0.001
1,3,13,0.0,0.0,1,propagule,4881,0,0,0.002868264699856587,True,0.025,0.001
1,3,14,0.0,0.0,1,propagule,4840,0,0,0.002892561983471074,True,0.025,0.001
1,3,15,0.0,0.0,1,propagule,4795,0,0,0.002711157455683003,True,0.025,0.001
1,3,16,0.0,0.0,1,propagule,4754,0,0,0.0027345393352965924,True,0.025,0.001
1,3,17,0.0,0.0,1,propagule,4705,0,0,0.002763018065887354,True,0.025,0.001
1,3,18,0.0,0.0,1,propagule,10521,0,0,0.0012356239901150081,True,0.025,0.001
1,3,19,0.0,0.0,1,propagule,10306,0,0,0.0012614011255579274,True,0.025,0.001
1,3,20,0.0,0.0,1,propagule,10161,0,0,0.00118098612341305,True,0.025,0.001
1,3,21,0.0,0.0,1,propagule,9940,0,0,0.0012072434607645875,True,0.025,0.001
1,3,22,0.0,0.0,1,propagule,9767,0,0,0.001228627009317088,True,0.025,0.001
1,3,23,0.0,0.0,1,propagule,9563,0,0,0.0011502666527240407,True,0.025,0.001
1,3,24,0.0,0.0,1,propagule,9421,0,0,0.0011676042882921133,True,0.025,0.001
1,3,25,0.0,0.0,1,propagule,9223,0,0,0.0010842459069717013,True,0.025,0.001
1,3,26,0.0,0.0,1,propagule,9096,0,0,0.0012093227792436235,True,0.025,0.001
1,3,27,0.0,0.0,1,propagule,8912,0,0,0.001234290843806104,True,0.025,0.001
1,3,28,0.0,0.0,1,propagule,8771,0,0,0.001140120852810398,True,0.025,0.001
1,3,29,0.0,0.0,1,propagule,8623,0,0,0.0010437202829641657,True,0.025,0.001
1,3,30,0.0,0.0,1,propagule,8422,0,0,0.0010686297791498457,True,0.025,0.001
1,3,31,0.0,0.0,1,propagule,8262,0,0,0.0010893246187363835,True,0.025,0.001
1,3,32,0.0,0.0,1,propagule,8097,0,0,0.0011115227862171174,True,0.025,0.001
1,3,33,0.0,0.0,1,propagule,7970,0,0,0.0011292346298619825,True,0.025,0.001
1,3,34,0.0,0.0,1,propagule,7840,0,0,0.0011479591836734695,True,0.025,0.001
1,3,35,0.0,0.0,1,propagule,7673,0,0,0.0011729440896650592,True,0.025,0.001
1,3,36,0.0,0.0,1,propagule,7547,0,0,0.0013250298131707962,True,0.025,0.001
1,3,37,0.0,0.0,1,propagule,7420,0,0,0.0016172506738544475,True,0.025,0.001
1,3,38,0.0,0.0,1,propagule,7251,0,0,0.0013791201213625708,True,0.025,0.001
1,3,39,0.0,0.0,1,propagule,7124,0,0,0.0018248175182481751,True,0.025,0.001
1,3,40,0.0,0.0,1,propagule,7002,0,0,0.0014281633818908884,True,0.025,0.001
1,3,41,0.0,0.0,1,propagule,6891,0,0,0.0018865186475112464,True,0.025,0.001
1,3,42,0.0,0.0,1,propagule,6783,0,0,0.0014742739200943535,True,0.025,0.001
1,3,43,0.0,0.0,1,propagule,6586,0,0,0.002884907379289402,True,0.025,0.001
1,3,44,0.0,0.0,1,propagule,6555,0,0,0.001983218916857361,True,0.025,0.001
1,3,45,0.0,0.0,1,propagule,6447,0,0,0.0018613308515588647,True,0.025,0.001
1,3,46,0.0,0.0,1,propagule,6342,0,0,0.001892147587511826,True,0.025,0.001
1,3,47,0.0,0.0,1,propagule,6226,0,0,0.0019274012206874397,True,0.025,0.001
1,3,48,0.0,0.0,1,propagule,6153,0,0,0.0019502681618722574,True,0.025,0.001
1,3,49,0.0,0.0,1,propagule,6067,0,0,0.001813087193011373,True,0.025,0.001
1,3,50,0.0,0.0,1,propagule,5991,0,0,0.0018360874645301285,True,0.025,0.001
1,3,51,0.0,0.0,1,propagule,5917,0,0,0.0018590501943552475,True,0.025,0.001
1,3,52,0.0,0.0,1,propagule,5838,0,0,0.0018842069201781431,True,0.025,0.001
1,4,1,0.0,0.0,1,propagule,5757,0,0,0.0020844189682126106,True,0.025,0.001
1,4,2,0.0,0.0,1,propagule,5699,0,0,0.002105632567117038,True,0.025,0.001
1,4,3,0.0,0.0,1,propagule,5620,0,0,0.0023131672597864767,True,0.025,0.001
1,4,4,0.0,0.0,1,propagule,5567,0,0,0.002335189509610203,True,0.025,0.001
1,4,5,0.0,0.0,1,propagule,5496,0,0,0.002547307132459971,True,0.025,0.001
1,4,6,0.0,0.0,1,propagule,5431,0,0,0.002761922297919352,True,0.025,0.001
1,4,7,0.0,0.0,1,propagule,5357,0,0,0.002800074668657831,True,0.025,0.001
1,4,8,0.0,0.0,1,propagule,5305,0,0,0.002639019792648445,True,0.025,0.001
1,4,9,0.0,0.0,1,propagule,5237,0,0,0.0024823372159633377,True,0.025,0.001
1,4,10,0.0,0.0,1,propagule,5169,0,0,0.002901915264074289,True,0.025,0.001
1,4,11,0.0,0.0,1,propagule,5113,0,0,0.0031292783101897126,True,0.025,0.001
1,4,12,0.0,0.0,1,propagule,5053,0,0,0.003166435780724322,True,0.025,0.001
1,4,13,0.0,0.0,1,propagule,4993,0,0,0.0032044862807931104,True,0.025,0.001
1,4,14,0.0,0.0,1,propagule,4932,0,0,0.0032441200324412004,True,0.025,0.001
1,4,15,0.0,0.0,1,propagule,4875,0,0,0.003282051282051282,True,0.025,0.001
1,4,16,0.0,0.0,1,propagule,4828,0,0,0.0031068765534382767,True,0.025,0.001
1,4,17,0.0,0.0,1,propagule,4780,0,0,0.0029288702928870294,True,0.025,0.001
1,4,18,0.0,0.0,1,propagule,10174,0,0,0.0013760566149007274,True,0.025,0.001
1,4,19,0.0,0.0,1,propagule,10016,0,0,0.0014976038338658146,True,0.025,0.001
1,4,20,0.0,0.0,1,propagule,9874,0,0,0.0015191411788535547,True,0.025,0.001
1,4,21,0.0,0.0,1,propagule,9639,0,0,0.0013486876231974271,True,0.025,0.001
1,4,22,0.0,0.0,1,propagule,9458,0,0,0.0011630365827870585,True,0.025,0.001
1,4,23,0.0,0.0,1,propagule,9272,0,0,0.001186367558239862,True,0.025,0.001
1,4,24,0.0,0.0,1,propagule,9144,0,0,0.0012029746281714785,True,0.025,0.001
1,4,25,0.0,0.0,1,propagule,8959,0,0,0.0012278156044201363,True,0.025,0.001
1,4,26,0.0,0.0,1,propagule,8764,0,0,0.0012551346417161114,True,0.025,0.001
1,4,27,0.0,0.0,1,propagule,8578,0,0,0.0012823501981813943,True,0.025,0.001
1,4,28,0.0,0.0,1,propagule,8396,0,0,0.0013101476893758932,True,0.025,0.001
1,4,29,0.0,0.0,1,propagule,8248,0,0,0.0013336566440349175,True,0.025,0.001
1,4,30,0.0,0.0,1,propagule,8091,0,0,0.0013595352861203807,True,0.025,0.001
1,4,31,0.0,0.0,1,propagule,7892,0,0,0.0011403953370501775,True,0.025,0.001
1,4,32,0.0,0.0,1,propagule,7684,0,0,0.0011712649661634565,True,0.025,0.001
1,4,33,0.0,0.0,1,propagule,7514,0,0,0.0011977641735427202,True,0.025,0.001
1,4,34,0.0,0.0,1,propagule,7309,0,0,0.0012313585989875496,True,0.025,0.001
1,4,35,0.0,0.0,1,propagule,7158,0,0,0.0011176306230790724,True,0.025,0.001
1,4,36,0.0,0.0,1,propagule,6977,0,0,0.0012899527017342697,True,0.025,0.001
1,4,37,0.0,0.0,1,propagule,6847,0,0,0.0011683949174821088,True,0.025,0.001
1,4,38,0.0,0.0,1,propagule,6691,0,0,0.0011956359288596622,True,0.025,0.001
1,4,39,0.0,0.0,1,propagule,6566,0,0,0.0010660980810234541,True,0.025,0.001
1,4,40,0.0,0.0,1,propagule,6422,0,0,0.0010900031142946122,True,0.025,0.001
1,4,41,0.0,0.0,1,propagule,6360,0,0,0.00110062893081761,True,0.025,0.001
1,4,42,0.0,0.0,1,propagule,6155,0,0,0.0011372867587327376,True,0.025,0.001
1,4,43,0.0,0.0,1,propagule,5872,0,0,0.0017029972752043597,True,0.025,0.001
1,4,44,0.0,0.0,1,propagule,5874,0,0,0.001191692202928158,True,0.025,0.001
1,4,45,0.0,0.0,1,propagule,5799,0,0,0.0012071046732195206,True,0.025,0.001
1,4,46,0.0,0.0,1,propagule,5661,0,0,0.0010598834128245894,True,0.025,0.001
1,4,47,0.0,0.0,1,propagule,5593,0,0,0.001072769533345253,True,0.025,0.001
1,4,48,0.0,0.0,1,propagule,5480,0,0,0.0010948905109489052,True,0.025,0.001
1,4,49,0.0,0.0,1,propagule,5458,0,0,0.0010993037742762918,True,0.025,0.001
1,4,50,0.0,0.0,1,propagule,5348,0,0,0.0011219147344801795,True,0.025,0.001
1,4,51,0.0,0.0,1,propagule,5314,0,0,0.0011290929619872036,True,0.025,0.001
1,4,52,0.0,0.0,1,propagule,5198,0,0,0.0011542901115813775,True,0.025,0.001
