rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim,a_mort,j_mort
1,1,1,0.0,0.0,1,propagule,2694,0,0,0.0,True,0.005,0.015
1,1,2,0.0,0.0,1,propagule,2656,0,0,0.0,True,0.005,0.015
1,1,3,0.0,0.0,1,propagule,2567,0,0,0.0007791195948578107,True,0.005,0.015
1,1,4,0.0,0.0,1,propagule,2516,0,0,0.000397456279809221,True,0.005,0.015
1,1,5,0.0,0.0,1,propagule,2444,0,0,0.0012274959083469722,True,0.005,0.015
1,1,6,0.0,0.0,1,propagule,2405,0,0,0.0012474012474012475,True,0.005,0.015
1,1,7,0.0,0.0,1,propagule,2375,0,0,0.0016842105263157896,True,0.005,0.015
1,1,8,0.0,0.0,1,propagule,2330,0,0,0.0017167381974248926,True,0.005,0.015
1,1,9,0.0,0.0,1,propagule,2282,0,0,0.0017528483786152498,True,0.005,0.015
1,1,10,0.0,0.0,1,propagule,2263,0,0,0.0017675651789659744,True,0.005,0.015
1,1,11,0.0,0.0,1,propagule,2238,0,0,0.0013404825737265416,True,0.005,0.015
1,1,12,0.0,0.0,1,propagule,2208,0,0,0.0018115942028985507,True,0.005,0.015
1,1,13,0.0,0.0,1,propagule,2179,0,0,0.0018357044515832951,True,0.005,0.015
1,1,14,0.0,0.0,1,propagule,2170,0,0,0.0018433179723502304,True,0.005,0.015
1,1,15,0.0,0.0,1,propagule,2149,0,0,0.0013959981386691485,True,0.005,0.015
1,1,16,0.0,0.0,1,propagule,2141,0,0,0.0018682858477347033,True,0.005,0.015
1,1,17,0.0,0.0,1,propagule,2119,0,0,0.001415762151958471,True,0.005,0.015
1,1,18,0.0,0.0,1,propagule,6047,0,0,0.000661485033901108,True,0.005,0.015
1,1,19,0.0,0.0,1,propagule,6098,0,0,0.0006559527714004591,True,0.005,0.015
1,1,20,0.0,0.0,1,propagule,6183,0,0,0.0006469351447517387,True,0.005,0.015
1,1,21,0.0,0.0,1,propagule,6086,0,0,0.0006572461386789353,True,0.005,0.015
1,1,22,0.0,0.0,1,propagule,6028,0,0,0.0006635700066357001,True,0.005,0.015
1,1,23,0.0,0.0,1,propagule,5961,0,0,0.0006710283509478275,True,0.005,0.015
1,1,24,0.0,0.0,1,propagule,5955,0,0,0.0006717044500419815,True,0.005,0.015
1,1,25,0.0,0.0,1,propagule,5873,0,0,0.0008513536523071684,True,0.005,0.015
1,1,26,0.0,0.0,1,propagule,5834,0,0,0.0008570449091532396,True,0.005,0.015
1,1,27,0.0,0.0,1,propagule,5755,0,0,0.0020851433536055604,True,0.005,0.015
1,1,28,0.0,0.0,1,propagule,5736,0,0,0.0022663877266387725,True,0.005,0.015
1,1,29,0.0,0.0,1,propagule,5668,0,0,0.0022935779816513763,True,0.005,0.015
