rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,1,1,0.0,propagule,0.075,3,0.03972222222222222,6520,72,13
1,1,2,0.0,propagule,0.075,3,0.03972222222222222,6396,97,25
1,1,3,0.0,propagule,0.075,3,0.03972222222222222,6258,145,53
1,1,4,0.0,propagule,0.075,3,0.03972222222222222,6186,222,65
1,1,5,0.0,propagule,0.075,3,0.03972222222222222,6116,293,99
1,1,6,0.0,propagule,0.075,3,0.03972222222222222,5977,390,110
1,1,7,0.0,propagule,0.075,3,0.03972222222222222,5747,511,160
1,1,8,0.0,propagule,0.075,3,0.03972222222222222,5581,632,199
1,1,9,0.0,propagule,0.075,3,0.03972222222222222,5346,731,258
1,1,10,0.0,propagule,0.075,3,0.03972222222222222,5102,788,316
1,1,11,0.0,propagule,0.075,3,0.03972222222222222,4934,921,362
1,1,12,0.0,propagule,0.075,3,0.03972222222222222,4639,948,390
1,1,13,0.0,propagule,0.075,3,0.03972222222222222,4447,998,441
1,1,14,0.0,propagule,0.075,3,0.03972222222222222,4289,1032,490
1,1,15,0.0,propagule,0.075,3,0.03972222222222222,4028,1020,512
1,1,16,0.0,propagule,0.075,3,0.03972222222222222,3725,967,497
1,1,17,0.0,propagule,0.075,3,0.03972222222222222,3488,890,462
1,1,18,0.0,propagule,0.075,3,0.03972222222222222,3201,798,430
1,1,19,0.0,propagule,0.075,3,0.03972222222222222,2986,738,413
1,1,20,0.0,propagule,0.075,3,0.03972222222222222,4136,677,369
1,1,21,0.0,propagule,0.075,3,0.03972222222222222,3739,701,327
1,1,22,0.0,propagule,0.075,3,0.03972222222222222,3614,701,317
1,1,23,0.0,propagule,0.075,3,0.03972222222222222,3413,706,329
1,1,24,0.0,propagule,0.075,3,0.03972222222222222,3296,747,327
1,1,25,0.0,propagule,0.075,3,0.03972222222222222,3092,687,302
1,1,26,0.0,propagule,0.075,3,0.03972222222222222,2959,671,303
1,1,27,0.0,propagule,0.075,3,0.03972222222222222,2861,669,346
1,1,28,0.0,propagule,0.075,3,0.03972222222222222,2756,652,339
1,1,29,0.0,propagule,0.075,3,0.03972222222222222,2629,624,317
1,1,30,0.0,propagule,0.075,3,0.03972222222222222,2439,582,283
1,1,31,0.0,propagule,0.075,3,0.03972222222222222,2281,559,271
1,1,32,0.0,propagule,0.075,3,0.03972222222222222,2196,536,268
1,1,33,0.0,propagule,0.075,3,0.03972222222222222,2040,507,262
1,1,34,0.0,propagule,0.075,3,0.03972222222222222,1940,505,234
1,1,35,0.0,propagule,0.075,3,0.03972222222222222,1862,471,219
1,1,36,0.0,propagule,0.075,3,0.03972222222222222,1719,411,200
1,1,37,0.0,propagule,0.075,3,0.03972222222222222,1644,394,210
1,1,38,0.0,propagule,0.075,3,0.03972222222222222,1547,365,205
1,1,39,0.0,propagule,0.075,3,0.03972222222222222,1465,325,178
1,1,40,0.0,propagule,0.075,3,0.03972222222222222,1406,325,164
1,1,41,0.0,propagule,0.075,3,0.03972222222222222,1341,286,153
1,1,42,0.0,propagule,0.075,3,0.03972222222222222,1274,270,148
1,1,43,0.0,propagule,0.075,3,0.03972222222222222,1224,252,138
1,1,44,0.0,propagule,0.075,3,0.03972222222222222,1167,233,120
1,1,45,0.0,propagule,0.075,3,0.03972222222222222,1106,196,101
1,1,46,0.0,propagule,0.075,3,0.03972222222222222,1057,179,97
1,1,47,0.0,propagule,0.075,3,0.03972222222222222,1014,167,94
1,1,48,0.0,propagule,0.075,3,0.03972222222222222,980,144,84
1,1,49,0.0,propagule,0.075,3,0.03972222222222222,943,121,67
1,1,50,0.0,propagule,0.075,3,0.03972222222222222,916,110,61
1,1,51,0.0,propagule,0.075,3,0.03972222222222222,887,102,56
1,1,52,0.0,propagule,0.075,3,0.03972222222222222,861,95,49
1,2,1,0.0,propagule,0.075,3,0.03972222222222222,837,88,49
1,2,2,0.0,propagule,0.075,3,0.03972222222222222,815,79,43
1,2,3,0.0,propagule,0.075,3,0.03972222222222222,798,76,36
1,2,4,0.0,propagule,0.075,3,0.03972222222222222,778,69,33
1,2,5,0.0,propagule,0.075,3,0.03972222222222222,763,66,31
1,2,6,0.0,propagule,0.075,3,0.03972222222222222,749,60,36
1,2,7,0.0,propagule,0.075,3,0.03972222222222222,736,61,31
1,2,8,0.0,propagule,0.075,3,0.03972222222222222,720,58,34
1,2,9,0.0,propagule,0.075,3,0.03972222222222222,705,52,26
1,2,10,0.0,propagule,0.075,3,0.03972222222222222,691,49,30
1,2,11,0.0,propagule,0.075,3,0.03972222222222222,676,41,24
1,2,12,0.0,propagule,0.075,3,0.03972222222222222,660,38,23
1,2,13,0.0,propagule,0.075,3,0.03972222222222222,649,29,17
1,2,14,0.0,propagule,0.075,3,0.03972222222222222,635,25,17
1,2,15,0.0,propagule,0.075,3,0.03972222222222222,631,21,17
1,2,16,0.0,propagule,0.075,3,0.03972222222222222,628,21,12
1,2,17,0.0,propagule,0.075,3,0.03972222222222222,615,14,7
1,2,18,0.0,propagule,0.075,3,0.03972222222222222,609,15,5
1,2,19,0.0,propagule,0.075,3,0.03972222222222222,603,16,7
1,2,20,0.0,propagule,0.075,3,0.03972222222222222,925,14,7
1,2,21,0.0,propagule,0.075,3,0.03972222222222222,906,11,6
1,2,22,0.0,propagule,0.075,3,0.03972222222222222,916,11,4
1,2,23,0.0,propagule,0.075,3,0.03972222222222222,904,11,6
1,2,24,0.0,propagule,0.075,3,0.03972222222222222,890,13,4
1,2,25,0.0,propagule,0.075,3,0.03972222222222222,882,13,7
1,2,26,0.0,propagule,0.075,3,0.03972222222222222,880,6,1
1,2,27,0.0,propagule,0.075,3,0.03972222222222222,862,7,4
1,2,28,0.0,propagule,0.075,3,0.03972222222222222,862,10,3
1,2,29,0.0,propagule,0.075,3,0.03972222222222222,857,10,5
1,2,30,0.0,propagule,0.075,3,0.03972222222222222,848,8,3
1,2,31,0.0,propagule,0.075,3,0.03972222222222222,834,9,4
1,2,32,0.0,propagule,0.075,3,0.03972222222222222,847,8,3
1,2,33,0.0,propagule,0.075,3,0.03972222222222222,826,9,2
1,2,34,0.0,propagule,0.075,3,0.03972222222222222,826,9,5
1,2,35,0.0,propagule,0.075,3,0.03972222222222222,798,4,0
1,2,36,0.0,propagule,0.075,3,0.03972222222222222,802,4,2
1,2,37,0.0,propagule,0.075,3,0.03972222222222222,791,4,3
1,2,38,0.0,propagule,0.075,3,0.03972222222222222,790,4,4
1,2,39,0.0,propagule,0.075,3,0.03972222222222222,770,3,2
1,2,40,0.0,propagule,0.075,3,0.03972222222222222,774,4,1
1,2,41,0.0,propagule,0.075,3,0.03972222222222222,762,3,1
1,2,42,0.0,propagule,0.075,3,0.03972222222222222,766,3,2
1,2,43,0.0,propagule,0.075,3,0.03972222222222222,746,3,2
1,2,44,0.0,propagule,0.075,3,0.03972222222222222,752,2,1
1,2,45,0.0,propagule,0.075,3,0.03972222222222222,734,1,1
1,2,46,0.0,propagule,0.075,3,0.03972222222222222,742,3,1
1,2,47,0.0,propagule,0.075,3,0.03972222222222222,725,3,1
