rep,year,week,sero,type,rate,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1,1,1,0.6,propagule,0.05,1,5068,48,5,0.5913575374901342
1,1,2,0.6,propagule,0.05,1,5062,48,15,0.5928486764124852
1,1,3,0.6,propagule,0.05,1,4968,54,30,0.590780998389694
1,1,4,0.6,propagule,0.05,1,4861,55,33,0.5932935609956799
1,1,5,0.6,propagule,0.05,1,4913,60,31,0.5978017504579687
1,1,6,0.6,propagule,0.05,1,4771,56,29,0.6015510375183399
1,1,7,0.6,propagule,0.05,1,4648,57,24,0.6017641996557659
1,1,8,0.6,propagule,0.05,1,4512,60,25,0.6050531914893617
1,1,9,0.6,propagule,0.05,1,4391,58,21,0.6062400364381689
1,1,10,0.6,propagule,0.05,1,4270,51,25,0.609367681498829
1,1,11,0.6,propagule,0.05,1,4157,45,29,0.6093336540774597
1,1,12,0.6,propagule,0.05,1,4091,42,25,0.6106086531410413
1,1,13,0.6,propagule,0.05,1,3996,37,24,0.6111111111111112
1,1,14,0.6,propagule,0.05,1,3844,30,13,0.6118626430801248
1,1,15,0.6,propagule,0.05,1,3773,31,16,0.6109196925523456
1,1,16,0.6,propagule,0.05,1,3714,22,8,0.6128163704900377
1,1,17,0.6,propagule,0.05,1,3647,21,8,0.6158486427200439
1,1,18,0.6,propagule,0.05,1,3575,19,9,0.6145454545454545
1,1,19,0.6,propagule,0.05,1,3551,16,10,0.6164460715291468
1,1,20,0.6,propagule,0.05,1,6553,16,11,0.32717839157637724
1,1,21,0.6,propagule,0.05,1,6248,24,10,0.3306658130601793
1,1,22,0.6,propagule,0.05,1,5916,27,8,0.33045977011494254
1,1,23,0.6,propagule,0.05,1,5678,29,10,0.33251144769284957
1,1,24,0.6,propagule,0.05,1,5481,28,8,0.3333333333333333
1,1,25,0.6,propagule,0.05,1,5140,32,9,0.3389105058365759
1,1,26,0.6,propagule,0.05,1,4987,40,12,0.3386805694806497
1,1,27,0.6,propagule,0.05,1,4736,46,20,0.34290540540540543
1,1,28,0.6,propagule,0.05,1,4568,70,27,0.34347635726795095
1,1,29,0.6,propagule,0.05,1,4353,68,29,0.34665747760165405
1,1,30,0.6,propagule,0.05,1,4218,78,28,0.3487434803224277
1,1,31,0.6,propagule,0.05,1,3981,86,31,0.34991208239135896
1,1,32,0.6,propagule,0.05,1,3927,94,42,0.3503947033358798
1,1,33,0.6,propagule,0.05,1,3828,105,51,0.35240334378265414
1,1,34,0.6,propagule,0.05,1,3766,118,52,0.35342538502389803
1,1,35,0.6,propagule,0.05,1,3653,129,56,0.3588831097727895
1,1,36,0.6,propagule,0.05,1,3580,136,50,0.361731843575419
1,1,37,0.6,propagule,0.05,1,3482,152,57,0.36444572085008614
1,1,38,0.6,propagule,0.05,1,3344,154,60,0.36901913875598086
