rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,2,37,0.4,propagule,0.1,0,0.0,1849,24,13
1,2,38,0.4,propagule,0.1,0,0.0,1829,28,13
1,2,39,0.4,propagule,0.1,0,0.0,1812,23,11
1,2,40,0.4,propagule,0.1,0,0.0,1778,19,9
1,2,41,0.4,propagule,0.1,0,0.0,1733,19,10
1,2,42,0.4,propagule,0.1,0,0.0,1699,20,10
1,2,43,0.4,propagule,0.1,0,0.0,1693,20,8
1,2,44,0.4,propagule,0.1,0,0.0,1662,18,9
1,2,45,0.4,propagule,0.1,0,0.0,1646,15,9
1,2,46,0.4,propagule,0.1,0,0.0,1610,14,10
1,2,47,0.4,propagule,0.1,0,0.0,1593,10,6
1,2,48,0.4,propagule,0.1,0,0.0,1558,7,3
1,2,49,0.4,propagule,0.1,0,0.0,1535,5,4
1,2,50,0.4,propagule,0.1,0,0.0,1485,4,4
1,2,51,0.4,propagule,0.1,0,0.0,1457,5,3
1,2,52,0.4,propagule,0.1,0,0.0,1435,4,1
1,3,1,0.4,propagule,0.1,0,0.0,1419,3,1
1,3,2,0.4,propagule,0.1,0,0.0,1408,4,1
1,3,3,0.4,propagule,0.1,0,0.0,1398,4,2
1,3,4,0.4,propagule,0.1,0,0.0,1394,3,1
1,3,5,0.4,propagule,0.1,0,0.0,1376,3,3
1,3,6,0.4,propagule,0.1,0,0.0,1374,4,2
1,3,7,0.4,propagule,0.1,0,0.0,1348,5,2
1,3,8,0.4,propagule,0.1,0,0.0,1326,3,0
1,3,9,0.4,propagule,0.1,0,0.0,1314,3,1
1,3,10,0.4,propagule,0.1,0,0.0,1324,3,1
1,3,11,0.4,propagule,0.1,0,0.0,1278,3,2
1,3,12,0.4,propagule,0.1,0,0.0,1275,2,2
1,3,13,0.4,propagule,0.1,0,0.0,1253,4,2
1,3,14,0.4,propagule,0.1,0,0.0,1259,3,1
1,3,15,0.4,propagule,0.1,0,0.0,1240,3,0
1,3,16,0.4,propagule,0.1,0,0.0,1251,3,1
1,3,17,0.4,propagule,0.1,0,0.0,1233,3,3
1,3,18,0.4,propagule,0.1,0,0.0,1245,4,3
1,3,19,0.4,propagule,0.1,0,0.0,1227,3,2
1,3,20,0.4,propagule,0.1,0,0.0,1856,2,0
1,3,21,0.4,propagule,0.1,0,0.0,1828,2,2
1,3,22,0.4,propagule,0.1,0,0.0,1803,2,2
1,3,23,0.4,propagule,0.1,0,0.0,1767,6,2
1,3,24,0.4,propagule,0.1,0,0.0,1753,7,0
