rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,2,27,0.4,wave,0.1,1,0.03805555555555556,1994,4,2
1,2,28,0.4,wave,0.1,1,0.03805555555555556,1960,4,2
1,2,29,0.4,wave,0.1,1,0.03805555555555556,1933,6,2
1,2,30,0.4,wave,0.1,1,0.03805555555555556,1928,7,1
1,2,31,0.4,wave,0.1,1,0.03805555555555556,1895,6,0
1,2,32,0.4,wave,0.1,1,0.03805555555555556,1861,6,2
1,2,33,0.4,wave,0.1,1,0.03805555555555556,1850,7,3
1,2,34,0.4,wave,0.1,1,0.03805555555555556,1840,12,3
1,2,35,0.4,wave,0.1,1,0.03805555555555556,1808,9,2
1,2,36,0.4,wave,0.1,1,0.03805555555555556,1782,10,3
1,2,37,0.4,wave,0.1,1,0.03805555555555556,1740,10,5
1,2,38,0.4,wave,0.1,1,0.03805555555555556,1695,11,5
1,2,39,0.4,wave,0.1,1,0.03805555555555556,1665,11,4
1,2,40,0.4,wave,0.1,1,0.03805555555555556,1630,10,5
1,2,41,0.4,wave,0.1,1,0.03805555555555556,1593,10,6
1,2,42,0.4,wave,0.1,1,0.03805555555555556,1579,11,6
1,2,43,0.4,wave,0.1,1,0.03805555555555556,1560,11,5
1,2,44,0.4,wave,0.1,1,0.03805555555555556,1558,9,3
1,2,45,0.4,wave,0.1,1,0.03805555555555556,1532,8,2
1,2,46,0.4,wave,0.1,1,0.03805555555555556,1512,6,5
1,2,47,0.4,wave,0.1,1,0.03805555555555556,1494,6,6
1,2,48,0.4,wave,0.1,1,0.03805555555555556,1485,6,6
1,2,49,0.4,wave,0.1,1,0.03805555555555556,1466,1,1
1,2,50,0.4,wave,0.1,1,0.03805555555555556,1453,0,0
1,2,51,0.4,wave,0.1,1,0.03805555555555556,1447,0,0
1,2,52,0.4,wave,0.1,1,0.03805555555555556,1428,0,0
1,3,1,0.4,wave,0.1,1,0.03805555555555556,1406,0,0
1,3,2,0.4,wave,0.1,1,0.03805555555555556,1384,0,0
1,3,3,0.4,wave,0.1,1,0.03805555555555556,1371,0,0
1,3,4,0.4,wave,0.1,1,0.03805555555555556,1358,0,0
1,3,5,0.4,wave,0.1,1,0.03805555555555556,1356,0,0
1,3,6,0.4,wave,0.1,1,0.03805555555555556,1339,0,0
1,3,7,0.4,wave,0.1,1,0.03805555555555556,1336,0,0
1,3,8,0.4,wave,0.1,1,0.03805555555555556,1316,0,0
1,3,9,0.4,wave,0.1,1,0.03805555555555556,1316,0,0
1,3,10,0.4,wave,0.1,1,0.03805555555555556,1299,0,0
1,3,11,0.4,wave,0.1,1,0.03805555555555556,1301,0,0
1,3,12,0.4,wave,0.1,1,0.03805555555555556,1285,0,0
1,3,13,0.4,wave,0.1,1,0.03805555555555556,1279,0,0
1,3,14,0.4,wave,0.1,1,0.03805555555555556,1267,0,0
1,3,15,0.4,wave,0.1,1,0.03805555555555556,1264,0,0
1,3,16,0.4,wave,0.1,1,0.03805555555555556,1248,0,0
1,3,17,0.4,wave,0.1,1,0.03805555555555556,1241,0,0
1,3,18,0.4,wave,0.1,1,0.03805555555555556,1230,0,0
1,3,19,0.4,wave,0.1,1,0.03805555555555556,1213,0,0
1,3,20,0.4,wave,0.1,1,0.03805555555555556,1783,0,0
1,3,21,0.4,wave,0.1,1,0.03805555555555556,1775,0,0
1,3,22,0.4,wave,0.1,1,0.03805555555555556,1711,0,0
1,3,23,0.4,wave,0.1,1,0.03805555555555556,1714,0,0
1,3,24,0.4,wave,0.1,1,0.03805555555555556,1702,0,0
1,3,25,0.4,wave,0.1,1,0.03805555555555556,1687,0,0
1,3,26,0.4,wave,0.1,1,0.03805555555555556,1667,0,0
1,3,27,0.4,wave,0.1,1,0.03805555555555556,1635,0,0
1,3,28,0.4,wave,0.1,1,0.03805555555555556,1599,0,0
1,3,29,0.4,wave,0.1,1,0.03805555555555556,1594,0,0
1,3,30,0.4,wave,0.1,1,0.03805555555555556,1512,0,0
1,3,31,0.4,wave,0.1,1,0.03805555555555556,1488,0,0
1,3,32,0.4,wave,0.1,1,0.03805555555555556,1479,0,0
1,3,33,0.4,wave,0.1,1,0.03805555555555556,1461,0,0
1,3,34,0.4,wave,0.1,1,0.03805555555555556,1419,0,0
1,3,35,0.4,wave,0.1,1,0.03805555555555556,1419,0,0
1,3,36,0.4,wave,0.1,1,0.03805555555555556,1381,0,0
1,3,37,0.4,wave,0.1,1,0.03805555555555556,1367,0,0
1,3,38,0.4,wave,0.1,1,0.03805555555555556,1348,0,0
1,3,39,0.4,wave,0.1,1,0.03805555555555556,1338,0,0
1,3,40,0.4,wave,0.1,1,0.03805555555555556,1315,0,0
1,3,41,0.4,wave,0.1,1,0.03805555555555556,1313,0,0
1,3,42,0.4,wave,0.1,1,0.03805555555555556,1275,0,0
